Rank,Film,Country of Origin,Weekend Gross,Distributor,% change on last week,Weeks on release,Number of cinemas,Site average,Total Gross to date,Start Date,End Date
1,Toy Story 5,USA,15361194.0,Disney,,1,702,21882.0,15361194.0,2026-06-19,2026-06-21
2,Disclosure Day,USA,1722597.0,Universal,-0.69,2,723,2383.0,9076770.0,2026-06-19,2026-06-21
3,Obsession,USA/UK,924703.0,Universal,-0.39,6,548,1687.0,15366392.0,2026-06-19,2026-06-21
4,Scary Movie,USA,556487.0,Paramount,-0.61,3,524,1062.0,8431226.0,2026-06-19,2026-06-21
5,Backrooms,USA/Canada,445285.0,A24,-0.54,4,541,823.0,11781211.0,2026-06-19,2026-06-21
6,Masters Of The Universe,UK/USA,396381.0,Sony Pictures,-0.54,3,508,780.0,4965546.0,2026-06-19,2026-06-21
7,Michael,USA,319376.0,Universal,-0.57,9,443,721.0,52424692.0,2026-06-19,2026-06-21
8,Star Wars: The Mandalorian And Grogu,USA,219506.0,Disney,-0.56,5,410,535.0,15388306.0,2026-06-19,2026-06-21
9,Cocktail 2,India/Italy,189168.0,Bakrania Media,,1,135,1401.0,189168.0,2026-06-19,2026-06-21
10,The Devil Wears Prada 2,USA,84664.0,Disney,-0.65,8,208,407.0,34129624.0,2026-06-19,2026-06-21
11,Maa Inti Bangaaram,India,82522.0,Prathyangira Cinemas,,1,48,1719.0,82522.0,2026-06-19,2026-06-21
12,Virginia Woolf's Night & Day,UK/Germany/USA,64945.0,Vue Entertainment,,1,204,318.0,64945.0,2026-06-19,2026-06-21
13,The Sheep Detectives,UK/USA,58829.0,Sony Pictures,-0.75,7,377,156.0,9731951.0,2026-06-19,2026-06-21
14,Balan: The Boy,India,57173.0,RFT Films,,1,99,578.0,57173.0,2026-06-19,2026-06-21
15,Tuner,Canada,50449.0,Black Bear,-0.69,4,202,250.0,1710036.0,2026-06-19,2026-06-21
